Anzahl,Zeit,Knoten_pro_Sekunde
25000,0.658,37993
50000,0.459,108932
75000,0.535,140186
100000,0.531,188323
125000,0.798,156641
150000,0.865,173410
175000,1.032,169573
200000,1.176,170068
225000,1.495,150501
250000,1.607,155569
275000,1.596,172305
300000,1.92,156250
325000,2.013,161450
350000,2.263,154661
375000,2.288,163898
400000,2.454,162999
425000,2.743,154939
450000,2.638,170583
475000,2.803,169461
500000,2.939,170125
525000,3.032,173153
550000,3.571,154018
575000,3.312,173611
600000,3.472,172811
625000,3.803,164343
650000,3.998,162581
675000,3.989,169215
700000,4.254,164551
725000,4.573,158539
750000,4.371,171585
775000,4.403,176016
800000,4.665,171489
825000,4.626,178339
850000,4.846,175402
875000,5.067,172686
900000,5.103,176366
925000,5.261,175822
950000,5.762,164873
975000,5.517,176726
1000000,5.928,168690
