Anzahl,Zeit,Knoten_pro_sekunde
25000,1.572,15903
50000,1.631,30656
75000,1.554,48262
100000,1.774,56369
125000,1.902,65720
150000,2.27,66079
175000,2.751,63613
200000,3.31,60422
225000,3.77,59681
250000,3.831,65257
275000,4.656,59063
300000,4.759,63038
325000,4.972,65366
350000,5.48,63868
375000,6.139,61084
400000,6.218,64329
425000,6.483,65556
450000,6.886,65349
475000,7.324,64855
500000,7.681,65095
525000,7.986,65740
550000,8.871,61999
575000,9.419,61046
600000,10.082,59512
625000,10.598,58973
650000,10.522,61775
675000,11.11,60756
700000,11.949,58582
725000,11.481,63147
750000,12.224,61354
775000,12.475,62124
800000,12.881,62106
825000,13.493,61142
850000,13.027,65249
875000,13.253,66022
900000,13.639,65987
925000,14.214,65076
950000,14.696,64643
975000,15.305,63704
1000000,15.359,65108
