Anzahl,Zeit,Knoten_pro_Sekunde
25000,0.394,63451
50000,0.249,200803
75000,0.279,268817
100000,0.27,370370
125000,0.32,390625
150000,0.473,317124
175000,0.757,231175
200000,0.694,288184
225000,0.619,363489
250000,0.68,367647
275000,0.84,327380
300000,1.012,296442
325000,1.035,314009
350000,0.962,363825
375000,1.183,316990
400000,1.318,303490
425000,1.161,366063
450000,1.226,367047
475000,1.458,325788
500000,1.887,264970
525000,1.821,288303
550000,1.577,348763
575000,1.77,324858
600000,1.833,327332
625000,1.957,319366
650000,1.983,327786
675000,2.071,325929
700000,2.564,273010
725000,2.121,341819
750000,2.164,346580
775000,2.149,360632
800000,2.707,295530
825000,2.517,327771
850000,2.743,309879
875000,2.868,305090
900000,2.908,309491
925000,2.708,341580
950000,2.902,327360
975000,2.784,350215
1000000,3.611,276931
