Anzahl,Zeit,Knoten_pro_sekunde
25000,1.027,24342
50000,0.882,56689
75000,0.929,80731
100000,0.988,101214
125000,1.127,110913
150000,1.428,105042
175000,1.51,115894
200000,1.804,110864
225000,2.192,102645
250000,2.261,110570
275000,2.456,111970
300000,3.01,99667
325000,3.137,103602
350000,3.211,109000
375000,3.535,106082
400000,3.546,112803
425000,3.762,112971
450000,4.051,111083
475000,4.447,106813
500000,4.362,114626
525000,4.64,113146
550000,4.82,114107
575000,5.188,110832
600000,5.397,111172
625000,5.742,108847
650000,5.979,108713
675000,5.988,112725
700000,6.1,114754
725000,6.621,109500
750000,6.509,115225
775000,6.731,115138
800000,7.113,112470
825000,7.941,103891
850000,7.505,113257
875000,7.845,111536
900000,7.934,113435
925000,8.232,112366
950000,8.348,113799
975000,8.741,111543
1000000,8.764,114103
