Anzahl,Zeit,Knoten_pro_Sekunde
250000,0.342,730732
500000,0.695,719111
750000,1.016,737965
1000000,1.332,750617
1250000,1.663,751863
1500000,2.052,730856
1750000,2.320,754182
2000000,2.616,764606
2250000,2.969,757794
2500000,3.284,761273
2750000,3.526,779869
3000000,4.154,722229
3250000,4.387,740830
3500000,4.733,739470
3750000,5.000,749955
4000000,5.217,766688
4250000,5.476,776180
4500000,5.939,757757
4750000,6.132,774591
5000000,6.431,777466
5250000,6.846,766868
5500000,7.182,765755
5750000,7.718,744979
6000000,8.274,725181
6250000,8.684,719697
6500000,8.819,737058
6750000,8.993,750560
7000000,9.548,733138
7250000,9.700,747439
7500000,10.003,749810
7750000,10.358,748204
8000000,10.569,756933
8250000,10.765,766355
8500000,11.051,769184
8750000,11.431,765468
9000000,11.656,772137
9250000,12.295,752323
9500000,12.623,752617
9750000,12.562,776145
10000000,12.927,773580
