Anzahl,Zeit,Knoten_pro_sekunde
25000,0.149,167255
50000,0.260,191956
75000,0.372,201807
100000,0.497,201224
125000,0.629,198662
150000,0.755,198682
175000,0.877,199619
200000,1.009,198189
225000,1.116,201672
250000,1.241,201374
275000,1.383,198789
300000,1.496,200483
325000,1.583,205291
350000,1.744,200632
375000,1.852,202498
400000,1.974,202597
425000,2.091,203266
450000,2.226,202142
475000,2.346,202491
500000,2.457,203522
525000,2.590,202735
550000,2.865,191977
575000,2.967,193816
600000,3.008,199499
625000,3.104,201380
650000,3.213,202274
675000,3.544,190456
700000,3.550,197170
725000,3.651,198582
750000,3.799,197418
775000,3.907,198362
800000,4.012,199389
825000,4.151,198753
850000,4.269,199100
875000,4.345,201382
900000,4.486,200646
925000,4.635,199588
950000,4.997,190118
975000,4.925,197953
1000000,5.050,198021
