Anzahl,Zeit,Knoten_pro_sekunde
25000,0.168,148793
50000,0.279,179039
75000,0.416,180498
100000,0.564,177250
125000,0.676,184866
150000,0.828,181100
175000,0.957,182785
200000,1.088,183827
225000,1.234,182280
250000,1.349,185296
275000,1.522,180739
300000,1.642,182663
325000,1.840,176596
350000,1.990,175883
375000,2.105,178152
400000,2.273,175947
425000,2.399,177193
450000,2.496,180261
475000,2.727,174174
500000,2.757,181329
525000,2.867,183145
550000,3.020,182136
575000,3.159,182018
600000,3.266,183696
625000,3.440,181670
650000,3.579,181622
675000,3.752,179923
700000,3.904,179312
725000,4.047,179134
750000,4.176,179603
775000,4.276,181245
800000,4.417,181138
825000,4.550,181333
850000,4.648,182868
875000,4.794,182503
900000,5.018,179361
925000,5.142,179879
950000,5.307,178993
975000,5.329,182976
1000000,5.491,182112
