Anzahl,Zeit,Knoten_pro_sekunde
25000,0.129,194175
50000,0.219,228254
75000,0.325,230727
100000,0.442,226205
125000,0.544,229951
150000,0.652,230154
175000,0.766,228501
200000,0.863,231706
225000,0.973,231309
250000,1.071,233421
275000,1.175,234047
300000,1.286,233203
325000,1.379,235711
350000,1.529,228857
375000,1.637,229021
400000,1.724,232081
425000,1.831,232064
450000,1.941,231788
475000,2.039,232901
500000,2.151,232426
525000,2.244,233946
550000,2.348,234243
575000,2.463,233433
600000,2.553,234990
625000,2.794,223657
650000,2.788,233128
675000,3.012,224130
700000,3.133,223433
725000,3.228,224590
750000,3.497,214460
775000,3.515,220472
800000,3.561,224639
825000,3.643,226449
850000,3.717,228665
875000,3.803,230066
900000,3.922,229492
925000,4.075,226987
950000,4.123,230433
975000,4.236,230195
1000000,4.349,229918
