Anzahl,Zeit,Knoten_pro_sekunde
25000,0.156,160487
50000,0.262,190493
75000,0.379,197765
100000,0.503,198834
125000,0.610,204767
150000,0.740,202581
175000,0.891,196397
200000,0.992,201587
225000,1.108,203043
250000,1.232,202862
275000,1.355,203020
300000,1.469,204267
325000,1.583,205285
350000,1.751,199922
375000,1.877,199792
400000,1.988,201197
425000,2.095,202898
450000,2.216,203079
475000,2.323,204479
500000,2.460,203266
525000,2.583,203275
550000,2.698,203844
575000,2.816,204188
600000,2.948,203539
625000,3.030,206278
650000,3.259,199436
675000,3.429,196851
700000,3.522,198728
725000,3.654,198428
750000,3.751,199942
775000,3.893,199054
800000,3.985,200740
825000,4.097,201384
850000,4.193,202726
875000,4.341,201553
900000,4.452,202154
925000,4.582,201884
950000,4.907,193620
975000,4.963,196462
1000000,5.048,198084
