Knoten,Kanten,Zeit
195,200,1.441
287,300,1.911
378,400,3.926
461,500,8.734
542,600,8.274
641,700,16.922
705,800,19.369
787,900,23.667
864,1000,31.314
949,1100,35.532
1048,1200,42.557
1102,1300,52.110
1173,1400,52.315
1253,1500,59.920
1315,1600,71.532
1369,1700,78.251
1442,1800,89.043
1506,1900,99.969
1571,2000,99.548
1639,2100,111.504
1698,2200,124.886
1768,2300,127.012
1818,2400,134.533
1883,2500,150.919
1960,2600,160.050
2045,2700,188.401
2120,2800,201.711
2198,2900,216.114
2244,3000,214.420
2299,3100,216.895
2371,3200,224.936
2419,3300,247.159
2454,3400,244.515
2514,3500,252.335
2551,3600,262.833
2616,3700,290.060
2714,3800,325.822
2811,3900,355.521
2906,4000,423.430
3000,4100,549.123
3094,4200,701.268
3179,4300,789.020
3270,4400,1013.313
3365,4500,1273.734
3462,4600,1556.924
3529,4700,1762.298
3594,4800,1665.513
3660,4900,1653.014
3706,5000,1897.687
3768,5100,1814.376
3832,5200,1888.313
