Zeilen,Berechnungen,Knoten,Kanten,Zeit_avg,Zeit_Neo4j 
10,1980,45,379,0.000381313131313131,0.755
20,8742,94,753,0.000108098833218943,0.945
30,18906,138,1120,0.000107479107161748,2.032
40,34410,186,1495,0.000104504504504505,3.596
50,51302,227,1866,0.000150345015788858,7.713
60,68906,263,2224,0.000328128174614692,22.610
70,92720,305,2606,0.000527663934426229,48.925
80,117992,344,2958,0.00080122381178385,94.538
90,147840,385,3326,0.000852807088744589,126.079
100,178506,423,3691,0.00092848979866223,165.741
110,214832,464,4052,0.000916893200268116,196.978
120,250500,501,4404,0.00106889820359281,267.759
130,296480,545,4754,0.00109966270912035,326.028
140,343982,587,5108,0.00117584059631027,404.468
150,386262,622,5430,0.00133708726201387,516.466
160,430992,657,5778,0.0014934059100865,643.646
170,472656,688,6120,0.00179697919840222,849.353
180,523452,724,6454,0.00192689109985252,1008.635
190,581406,763,6788,0.00202378200431368,1176.639
200,639200,800,7110,0.00210647058823529,1346.456
210,698060,836,7458,0.00221702002693178,1547.613
220,754292,869,7764,0.00234610204005876,1769.646
230,819930,906,8109,0.00244333784591368,2003.366
240,893970,946,8439,0.00258824680917704,2313.815
250,983072,992,8772,0.00257716220175124,2533.536
260,1057812,1029,9106,0.00264792893255134,2801.011
270,1141692,1069,9395,0.00273220448246988,3119.336
280,1230990,1110,9746,0.00286009065873809,3520.743
290,1309880,1145,10085,0.00319280773811341,4182.195
