Zeilen,Berechnungen,Knoten,Kanten,Zeit_avg,Zeit_Neo4j 
10,2970,55,379,0.0000824915824915825,0.245
20,13110,115,753,0.0000254004576659039,0.333
30,28056,168,1120,0.0000222055888223553,0.623
40,50400,225,1495,0.000020218253968254,1.019
50,75900,276,1866,0.0000250329380764163,1.900
60,103362,322,2224,0.0000333584876453629,3.448
70,140250,375,2606,0.0000395008912655971,5.540
80,179352,424,2958,0.0000521153931932736,9.347
90,226100,476,3326,0.0000404422821760283,9.144
100,273006,523,3691,0.0000360028717317568,9.829
110,330050,575,4052,0.0000389122860172701,12.843
120,386262,622,4404,0.0000413993610554494,15.991
130,456300,676,4754,0.0000409927679158448,18.705
140,529256,728,5108,0.0000417567302023973,22.100
150,599850,775,5430,0.000043970992748187,26.376
160,671580,820,5778,0.0000460927960927961,30.955
170,737022,859,6120,0.0000620320695990079,45.719
180,818120,905,6454,0.0000586845450545152,48.011
190,909162,954,6788,0.0000578686746696408,52.612
200,1001000,1001,7110,0.0000480799200799201,48.128
210,1093070,1046,7458,0.0000511001125271026,55.856
220,1184832,1089,7764,0.0000503379382055853,59.642
230,1284822,1134,8109,0.0000522967383808808,67.192
240,1393580,1181,8439,0.0000499440290474892,69.601
250,1533882,1239,8772,0.0000488199222625991,74.884
260,1655082,1287,9106,0.0000504899455132737,83.565
270,1788906,1338,9395,0.0000495101475426881,88.569
280,1944630,1395,9746,0.0000516962095617161,100.530
290,2072160,1440,10085,0.0000547385337039611,113.427
300,2233530,1495,10391,0.0000521779425393883,116.541
310,2376222,1542,10701,0.0000545702379659813,129.671
320,2593710,1611,11041,0.0000527530063114226,136.826
330,2773890,1666,11367,0.0000527818334541024,146.411
340,2929232,1712,11681,0.0000548471408205291,160.660
350,3099360,1761,11963,0.0000531329048577771,164.678
360,3285156,1813,12291,0.0000536854262019825,176.365
370,3442880,1856,12624,0.000053879891253834,185.502
380,3623312,1904,12915,0.0000532187126032757,192.828
390,3816162,1954,13234,0.0000543548727753172,207.427
400,4034072,2009,13562,0.0000533984024082862,215.413
410,4225080,2056,13830,0.0000542138847075085,229.058
420,4454210,2111,14160,0.0000522981628616522,232.947
430,4654806,2158,14477,0.0000522152802930992,243.052
440,4868642,2207,14792,0.000052436387805881,255.294
450,5091792,2257,15090,0.0000521160330194163,265.364
460,5319942,2307,15398,0.0000531706924624366,282.865
470,5506062,2347,15671,0.0000536107294106024,295.184
480,5724056,2393,15996,0.0000525566137018925,300.837
490,5946282,2439,16313,0.0000540684077882616,321.506
500,6167772,2484,16593,0.0000525119929854735,323.882
#510,6418622,2534,16889,0.0000515238317508026,330.712
#520,6679640,2585,17210,0.0000524215376876598,350.157
#530,6935322,2634,17494,0.0000523349889161599,362.960
#540,7115556,2668,17724,0.0000520316332272559,370.234
#550,7341390,2710,18019,0.0000524316239840139,384.921
#560,7570752,2752,18318,0.0000536761737803589,406.369
#570,7837200,2800,18621,0.0000547062726483948,428.744
#580,8034390,2835,18861,0.0000542212912243493,435.635
#590,8291520,2880,19110,0.0000546964850835552,453.517
#600,8605422,2934,19434,0.0000547525734356781,471.169
#610,8889342,2982,19707,0.0000541536145194999,481.390
#620,9117380,3020,19956,0.0000543456563179334,495.490
#630,9397290,3066,20161,0.0000536378040903282,504.050

