Zeilen,Knoten,Kanten,Zeit_NetworkX
10,45,210,0.011
20,94,410,0.017
30,138,610,0.030
40,186,810,0.038
50,227,1010,0.066
60,263,1210,0.180
70,305,1410,0.388
80,344,1610,0.813
90,385,1808,0.999
100,423,1996,1.134
110,464,2196,1.136
120,501,2394,1.470
130,545,2594,1.655
140,587,2794,1.948
150,622,2958,2.441
160,657,3158,2.938
170,688,3354,4.414
180,724,3554,5.034
190,763,3754,5.774
200,800,3940,5.941
210,836,4140,6.638
220,869,4314,7.512
230,906,4512,8.249
240,946,4704,8.784
250,992,4896,8.831
260,1029,5090,9.995
270,1069,5256,10.323
280,1110,5456,11.704
290,1145,5644,12.683
300,1189,5822,12.672
310,1226,6014,13.926
320,1272,6214,14.666
330,1316,6406,14.937
340,1351,6584,16.738
350,1390,6746,16.747
360,1432,6938,17.794
370,1466,7136,19.039
380,1504,7308,20.442
390,1545,7498,21.021
400,1590,7698,21.245
410,1626,7860,24.128
420,1671,8060,23.139
430,1708,8252,24.327
440,1748,8452,24.795
450,1789,8632,26.512
460,1828,8810,26.430
470,1859,8964,27.971
480,1897,9164,28.933
490,1935,9356,29.119
500,1972,9522,30.402
