Berechnungen,Knoten,Kanten,Zeit_avg,Zeit_NetworkX 
9900,100,100,0.000000101010101010101,0.001
37830,195,200,0.0000000528680941052075,0.002
82082,287,300,0.0000000609146950610365,0.005
142506,378,400,0.0000000631552355690287,0.009
212060,461,500,0.000000108459869848156,0.023
293222,542,600,0.0000000954907885492903,0.028
410240,641,700,0.0000000804407176287052,0.033
496320,705,800,0.0000000846228239845261,0.042
618582,787,900,0.0000000808300273852133,0.050
745632,864,1000,0.000000077786361100382,0.058
899652,949,1100,0.0000000722501589503497,0.065
1097256,1048,1200,0.0000000656182331197095,0.072
1213302,1102,1300,0.0000000684083599961098,0.083
1374756,1173,1400,0.0000000705579753789036,0.097
1568756,1253,1500,0.0000000675694626825332,0.106
1727910,1315,1600,0.0000000694480615309825,0.120
1872792,1369,1700,0.000000073686773544526,0.138
2077922,1442,1800,0.0000000760375028514064,0.158
2266530,1506,1900,0.0000000736809131138789,0.167
2466470,1571,2000,0.0000000786549197841449,0.194
2684682,1639,2100,0.0000000744967187920208,0.200
2881506,1698,2200,0.0000000975184504214116,0.281
3124056,1768,2300,0.0000000947486216636321,0.296
3303306,1818,2400,0.0000000944508319846844,0.312
3543806,1883,2500,0.0000000936845865716126,0.332
3839640,1960,2600,0.0000000890708503922243,0.342
4179980,2045,2700,0.0000000858855783998966,0.359
4492280,2120,2800,0.0000000863703954339445,0.388
4829006,2198,2900,0.0000000826256997816942,0.399
5033292,2244,3000,0.0000000864245507711454,0.435
5283102,2299,3100,0.0000000857450793113591,0.453
5619270,2371,3200,0.0000000891574884282122,0.501
5849142,2419,3300,0.0000000911244760342628,0.533
6019662,2454,3400,0.0000000890415441930128,0.536
6317682,2514,3500,0.000000088640105659006,0.560
6505050,2551,3600,0.000000104072989446661,0.677
6840840,2616,3700,0.000000103642242765508,0.709
7363082,2714,3800,0.0000000992790790595569,0.731
7898910,2811,3900,0.0000000974818044515003,0.770
8441930,2906,4000,0.0000000936989527276346,0.791
8997000,3000,4100,0.0000000914749360898077,0.823
9569742,3094,4200,0.0000000876721650385141,0.839
10102862,3179,4300,0.0000000868070849626571,0.877
10689630,3270,4400,0.0000000837260036128472,0.895
11319860,3365,4500,0.0000000817147915256902,0.925
11981982,3462,4600,0.0000000796195487524518,0.954
12450312,3529,4700,0.0000000805602301372046,1.003
12913242,3594,4800,0.0000000946315417925258,1.222
13391940,3660,4900,0.0000000895314644480187,1.199
13730730,3706,5000,0.00000009147365070903,1.256
