Berechnungen,Knoten,Kanten,Zeit_NetworkX
9900,100,100,0.001
37830,195,200,0.001
82082,287,300,0.003
142506,378,400,0.005
212060,461,500,0.014
293222,542,600,0.017
410240,641,700,0.020
496320,705,800,0.025
618582,787,900,0.029
745632,864,1000,0.033
899652,949,1100,0.036
1097256,1048,1200,0.040
1213302,1102,1300,0.045
1374756,1173,1400,0.052
1568756,1253,1500,0.059
1727910,1315,1600,0.064
1872792,1369,1700,0.073
2077922,1442,1800,0.084
2266530,1506,1900,0.087
2466470,1571,2000,0.105
2684682,1639,2100,0.101
2881506,1698,2200,0.116
3124056,1768,2300,0.170
3303306,1818,2400,0.181
3543806,1883,2500,0.188
3839640,1960,2600,0.210
4179980,2045,2700,0.199
4492280,2120,2800,0.212
4829006,2198,2900,0.220
5033292,2244,3000,0.241
5283102,2299,3100,0.249
5619270,2371,3200,0.255
5849142,2419,3300,0.266
6019662,2454,3400,0.277
6317682,2514,3500,0.291
6505050,2551,3600,0.298
6840840,2616,3700,0.379
7363082,2714,3800,0.390
7898910,2811,3900,0.406
8441930,2906,4000,0.423
8997000,3000,4100,0.434
9569742,3094,4200,0.439
10102862,3179,4300,0.445
10689630,3270,4400,0.454
11319860,3365,4500,0.469
11981982,3462,4600,0.476
12450312,3529,4700,0.486
12913242,3594,4800,0.507
13391940,3660,4900,0.511
13730730,3706,5000,0.619
