Zeilen,Knoten,Kanten,Zeit_NetworkX
10,45,210,0.005
20,94,410,0.009
30,138,610,0.014
40,186,810,0.019
50,227,1010,0.032
60,263,1210,0.090
70,305,1410,0.186
80,344,1610,0.377
90,385,1808,0.460
100,423,1996,0.539
110,464,2196,0.525
120,501,2394,0.704
130,545,2594,0.809
140,587,2794,0.925
150,622,2958,1.162
160,657,3158,1.361
170,688,3354,2.111
180,724,3554,2.445
190,763,3754,2.697
200,800,3940,2.800
210,836,4140,3.042
220,869,4314,3.495
230,906,4512,3.762
240,946,4704,3.945
250,992,4896,4.139
260,1029,5090,4.713
270,1069,5256,4.823
280,1110,5456,5.711
290,1145,5644,6.401
300,1189,5822,6.029
310,1226,6014,6.661
320,1272,6214,6.728
330,1316,6406,7.020
340,1351,6584,7.757
350,1390,6746,8.113
360,1432,6938,8.259
370,1466,7136,8.817
380,1504,7308,9.512
390,1545,7498,10.128
400,1590,7698,10.119
410,1626,7860,10.495
420,1671,8060,10.894
430,1708,8252,11.295
440,1748,8452,12.174
450,1789,8632,12.633
460,1828,8810,12.598
470,1859,8964,13.644
480,1897,9164,13.115
490,1935,9356,13.677
500,1972,9522,13.850
