Knoten,Zeilen,Zeit_Neo4j
100,100,1.033
195,200,1.032
287,300,1.082
378,400,1.077
461,500,1.211
542,600,1.028
641,700,1.201
705,800,1.123
787,900,1.126
864,1000,1.117
1253,1500,1.105
1571,2000,1.192
1883,2500,1.187
2244,3000,1.263
2514,3500,1.244
2906,4000,1.481
3365,4500,1.330
3706,5000,1.424
4001,5500,1.366
4295,6000,1.375
4561,6500,1.572
4835,7000,1.543
5068,7500,1.568
5293,8000,1.549
5565,8500,1.608
5819,9000,1.674
6235,9500,1.741
6731,10000,1.869
11678,15000,3.002
15368,20000,4.593
18209,25000,5.946
21288,30000,7.762
24049,35000,9.746
26510,40000,11.647
28891,45000,14.170
31355,50000,16.980
40033,75000,32.567
49683,100000,52.410
62679,125000,93.060
