Knoten,Zeilen,Zeit_Neo4j
100,100,1.139
195,200,0.203
287,300,0.179
378,400,0.154
461,500,0.150
542,600,0.144
641,700,0.139
705,800,0.123
787,900,0.121
864,1000,1.139
1253,1500,0.153
1571,2000,0.150
1883,2500,0.152
2244,3000,0.158
2514,3500,0.186
2906,4000,0.179
3365,4500,0.190
3706,5000,0.218
4001,5500,0.218
4295,6000,0.248
4561,6500,0.275
4835,7000,0.288
5068,7500,0.305
5293,8000,0.324
5565,8500,0.366
5819,9000,0.396
6235,9500,0.528
6731,10000,0.623
11678,15000,1.906
15368,20000,3.300
18209,25000,4.706
21288,30000,6.564
24049,35000,8.808
26510,40000,11.112
28891,45000,13.408
31355,50000,16.620
40033,75000,33.066
49683,100000,54.425
62679,125000,87.335
