Zeilen,Knoten,Kanten,Zeit_NetworkX
100,100,100,0.003
200,195,200,0.009
300,287,300,0.020
400,378,400,0.038
500,461,500,0.063
600,542,600,0.083
700,641,700,0.107
800,705,800,0.140
900,787,900,0.365
1000,864,1000,0.435
1500,1253,1500,0.789
2000,1571,2000,1.674
2500,1883,2500,2.228
3000,2244,3000,3.593
3500,2514,3500,4.325
4000,2906,4000,6.486
4500,3365,4500,7.982
5000,3706,5000,10.450
5500,4001,5500,11.871
6000,4295,6000,14.861
6500,4561,6500,16.985
7000,4835,7000,18.241
7500,5068,7500,21.439
8000,5293,8000,23.187
8500,5565,8500,26.400
9000,5819,9000,30.369
9500,6235,9500,33.986
10000,6731,10000,40.802
15000,11678,15000,144.409
20000,15368,20000,269.664
25000,18209,25000,414.684
30000,21288,30000,604.604
35000,24049,35000,877.757
40000,26510,40000,1108.872
45000,28891,45000,1367.460
50000,31355,50000,1647.536
75000,40033,75000,3318.668
100000,49683,100000,5984.807
125000,62679,125000,10584.683
