Zeilen,Zeit_Neo4j
100,1.977
200,2.099
300,2.309
400,2.395
500,2.565
600,2.807
700,2.922
800,3.275
900,3.682
1000,4.209
1100,4.683
1200,5.061
1300,5.396
1400,6.051
1500,6.123
1600,7.035
1700,7.542
1800,8.461
1900,8.690
2000,9.783
2100,10.125
2200,10.782
2300,12.045
2400,12.259
2500,12.617
2600,14.329
2700,14.459
2800,15.171
2900,17.171
3000,16.791
3100,17.968
3200,17.730
3300,20.834
3400,20.842
3500,21.834
3600,23.672
3700,23.408
3800,22.560
3900,26.943
4000,27.895
4100,29.519
4200,30.341
4300,33.377
4400,31.075
4500,34.779
4600,36.053
4700,36.437
4800,38.953
4900,41.388
5000,42.047
