Zeilen,Zeit_Neo4j 
100,1.835
200,0.466
300,0.495
400,0.543
500,0.670
600,0.809
700,1.009
800,1.296
900,1.745
1000,2.086
1100,2.610
1200,3.131
1300,3.560
1400,3.937
1500,4.431
1600,5.126
1700,6.171
1800,6.733
1900,7.409
2000,8.142
2100,8.840
2200,9.607
2300,10.407
2400,11.385
2500,12.327
2600,13.409
2700,14.061
2800,15.078
2900,15.986
3000,17.106
3100,18.017
3200,19.172
3300,20.659
3400,21.527
3500,22.263
3600,23.459
3700,24.744
3800,25.684
3900,27.176
4000,28.614
4100,30.126
4200,31.757
4300,33.267
4400,34.931
4500,35.637
4600,37.091
4700,38.870
4800,40.159
4900,41.631
5000,43.013
