Zeilen,Knoten,Kanten,Zeit_NetworkX
100,423,1996,0.720
200,800,3940,3.933
300,1189,5822,8.034
400,1590,7698,14.293
500,1972,9522,19.502
600,2328,11180,26.264
700,2562,12938,35.199
800,2754,14874,47.388
900,3011,16822,64.665
1000,3305,18780,80.262
1100,3599,20652,107.448
1200,3894,22432,125.213
1300,4203,23930,141.197
1400,4535,25632,158.102
1500,4712,27582,181.537
1600,4920,29524,207.289
1700,5160,31426,231.593
1800,5413,33320,270.553
1900,5720,35040,310.311
2000,5848,36854,323.109
2100,5995,38746,354.416
2200,6223,40514,394.602
2300,6465,42210,427.004
2400,6734,43904,455.108
2500,6890,45814,499.925
2600,7086,47770,543.283
2700,7236,49516,569.775
2800,7380,51424,600.067
2900,7553,53238,643.848
3000,7648,55118,676.463
3100,7800,56958,733.482
3200,8028,58864,775.738
3300,8248,60654,837.619
3400,8456,62306,870.761
3500,8527,64122,897.676
3600,8659,66000,924.332
3700,8836,67864,965.532
3800,9043,69600,1039.068
3900,9294,71248,1080.445
4000,9412,73016,1112.889
4100,9542,74920,1199.262
4200,9708,76704,1249.974
4300,9879,78652,1306.661
4400,10023,80446,1358.559
4500,10082,82346,1412.715
4600,10251,84238,1457.133
4700,10441,86128,1490.018
4800,10648,87984,1578.041
4900,10866,89584,1655.459
5000,11016,91152,1743.766
