Zeilen,Knoten,Zeit_Neo4j
25000,18209,0.121
50000,31355,0.166
75000,40033,0.194
100000,49683,0.228
125000,62679,0.296
150000,74062,0.304
175000,82604,0.330
200000,91489,0.321
225000,101774,0.412
250000,111754,0.447
275000,120861,0.416
300000,128769,0.467
325000,138027,0.477
350000,148587,0.511
375000,156928,0.488
400000,164703,0.544
425000,173819,0.583
450000,181755,0.609
475000,189183,0.580
500000,195174,0.554
525000,202379,0.591
550000,209714,0.623
570000,215976,0.722
600000,224961,0.707
625000,231232,0.624
650000,237879,0.678
675000,243676,0.657
700000,249493,0.715
725000,255436,0.660
750000,261729,0.690
775000,267408,0.674
800000,272699,0.716
825000,277544,0.715
850000,283266,0.714
875000,288712,0.737
900000,293828,0.742
925000,297515,0.684
950000,300817,0.756
975000,305644,0.741
1000000,310264,0.777
