Zeilen,Zeit_Neo4j
25000,1.841
50000,2.182
75000,2.223
100000,2.432
125000,2.445
150000,2.666
175000,2.771
200000,2.816
225000,2.941
250000,2.933
275000,3.131
300000,3.232
325000,3.270
350000,3.357
375000,3.490
400000,3.635
425000,3.367
450000,3.620
475000,3.676
500000,3.775
525000,3.943
550000,3.864
570000,3.949
600000,4.050
625000,3.888
650000,4.281
675000,4.157
700000,3.943
725000,4.061
750000,4.581
775000,4.098
800000,4.408
825000,4.448
850000,4.458
875000,4.547
900000,4.350
925000,4.604
950000,4.696
975000,4.729
1000000,4.586
