Zeilen,Knoten,Zeit_Neo4j
25000,18209,0.122
50000,31355,0.096
75000,40033,0.135
100000,49683,0.075
125000,62679,0.081
150000,74062,0.092
175000,82604,0.103
200000,91489,0.130
225000,101774,0.192
250000,111754,0.149
275000,120861,0.165
300000,128769,0.170
325000,138027,0.256
350000,148587,0.260
375000,156928,0.270
400000,164703,0.324
425000,173819,0.332
450000,181755,0.337
475000,189183,0.379
500000,195174,0.308
525000,202379,0.416
550000,209714,0.433
575000,217679,0.431
600000,224961,0.331
625000,231232,0.332
650000,237879,0.340
675000,243676,0.479
700000,249493,0.404
725000,255436,0.463
750000,261729,0.571
775000,267408,0.417
800000,272699,0.582
825000,277544,0.551
850000,283266,0.541
875000,288712,0.526
900000,293828,0.522
925000,297515,0.504
950000,300817,0.701
975000,305644,0.646
1000000,310264,0.656
