Zeilen,Zeit_Neo4j
25000,1.841
50000,0.696
75000,0.596
100000,0.671
125000,0.681
150000,0.856
175000,0.766
200000,0.779
225000,0.882
250000,0.920
275000,1.003
300000,1.081
325000,1.149
350000,1.185
375000,1.305
400000,1.399
425000,1.420
450000,1.431
475000,1.537
500000,1.598
525000,1.488
550000,1.791
575000,1.938
600000,1.825
625000,2.147
650000,1.975
675000,1.707
700000,1.863
725000,2.430
750000,2.028
775000,2.355
800000,2.319
825000,2.799
850000,2.565
875000,2.351
900000,2.733
925000,2.597
950000,2.352
975000,3.044
1000000,2.691
