Berechnungen,Knoten,Kanten,Zeit_NetworkX
25000,18209,25000,0.094
50000,31355,50000,0.067
75000,40033,75000,0.088
100000,49683,100000,0.128
125000,62679,125000,0.144
150000,74062,150000,0.169
175000,82604,175000,0.190
200000,91489,200000,0.227
225000,101774,225000,0.258
250000,111754,250000,0.273
275000,120861,275000,0.301
300000,128769,300000,0.324
325000,138027,325000,0.347
350000,148587,350000,0.394
375000,156928,375000,0.402
400000,164703,400000,0.426
425000,173819,425000,0.446
450000,181755,450000,0.475
475000,189183,475000,0.500
500000,195174,500000,0.515
525000,202379,525000,0.531
550000,209714,550000,0.554
575000,217679,575000,0.574
600000,224961,600000,0.591
625000,231232,625000,0.617
650000,237879,650000,0.630
675000,243676,675000,0.659
700000,249493,700000,0.665
725000,255436,725000,0.682
750000,261729,750000,0.714
775000,267408,775000,0.720
800000,272699,800000,0.739
825000,277544,825000,0.763
850000,283266,850000,0.807
875000,288712,875000,0.819
900000,293828,900000,0.817
925000,297515,925000,0.826
950000,300817,950000,0.940
975000,305644,975000,0.871
1000000,310264,1000000,0.872
