Zeilen,Zeit_Neo4j
100,0.032
200,0.042
300,0.053
400,0.069
500,0.060
600,0.080
700,0.126
800,0.092
900,0.085
1000,0.103
1100,0.116
1200,0.096
1300,0.110
1400,0.122
1500,0.098
1600,0.117
1700,0.144
1800,0.122
1900,0.169
2000,0.141
2100,0.140
2200,0.127
2300,0.157
2400,0.130
2500,0.196
2600,0.128
2700,0.133
2800,0.160
2900,0.181
3000,0.187
3100,0.150
3200,0.176
3300,0.157
3400,0.155
3500,0.173
3600,0.204
3700,0.177
3800,0.213
3900,0.186
4000,0.185
4100,0.197
4200,0.202
4300,0.206
4400,0.214
4500,0.201
4600,0.218
4700,0.206
4800,0.208
4900,0.232
5000,0.240
5100,0.208
5200,0.219
5300,0.225
5400,0.237
5500,0.268
5600,0.208
5700,0.230
5800,0.217
5900,0.215
6000,0.228
6100,0.221
6200,0.256
6300,0.257
6400,0.241
6500,0.304
6600,0.230
6700,0.237
6800,0.277
6900,0.258
7000,0.260
7100,0.314
7200,0.290
7300,0.265
7400,0.255
7500,0.231
7600,0.276
7700,0.303
7800,0.249
7900,0.268
8000,0.305
8100,0.302
8200,0.274
8300,0.342
8400,0.269
8500,0.357
8600,0.315
8700,0.296
8800,0.291
8900,0.298
9000,0.283
9100,0.295
9200,0.325
9300,0.306
9400,0.293
9500,0.276
9600,0.318
9700,0.312
9800,0.334
9900,0.338
10000,0.376
