Zeilen,Zeit_Neo4j
100,0.032
200,0.023
300,0.019
400,0.023
500,0.022
600,0.019
700,0.020
800,0.021
900,0.024
1000,0.019
1100,0.018
1200,0.023
1300,0.022
1400,0.019
1500,0.023
1600,0.025
1700,0.023
1800,0.026
1900,0.027
2000,0.025
2100,0.036
2200,0.028
2300,0.031
2400,0.029
2500,0.030
2600,0.033
2700,0.032
2800,0.033
2900,0.035
3000,0.039
3100,0.092
3200,0.037
3300,0.174
3400,0.040
3500,0.038
3600,0.040
3700,0.043
3800,0.051
3900,0.042
4000,0.069
4100,0.049
4200,0.053
4300,0.045
4400,0.052
4500,0.050
4600,0.052
4700,0.051
4800,0.056
4900,0.057
5000,0.057
5100,0.053
5200,0.083
5300,0.058
5400,0.060
5500,0.059
5600,0.063
5700,0.063
5800,0.068
5900,0.065
6000,0.065
6100,0.068
6200,0.066
6300,0.065
6400,0.069
6500,0.069
6600,0.072
6700,0.074
6800,0.071
6900,0.076
7000,0.079
7100,0.080
7200,0.081
7300,0.084
7400,0.093
7500,0.083
7600,0.134
7700,0.094
7800,0.091
7900,0.082
8000,0.084
8100,0.085
8200,0.094
8300,0.093
8400,0.097
8500,0.098
8600,0.101
8700,0.101
8800,0.087
8900,0.094
9000,0.175
9100,0.104
9200,0.096
9300,0.112
9400,0.104
9500,0.105
9600,0.182
9700,0.100
9800,0.101
9900,0.104
10000,0.125
