Zeilen,Zeit_Neo4j
100,1.495
200,1.221
300,0.224
400,0.228
500,0.216
600,0.21
700,0.216
800,0.205
900,0.208
1000,0.193
1100,0.199
1200,0.193
1300,0.201
1400,0.202
1500,0.214
1600,0.227
1700,0.222
1800,0.302
1900,0.265
2000,0.239
2100,0.237
2200,0.238
2300,0.256
2400,0.298
2500,0.261
2600,0.357
2700,0.289
2800,0.322
2900,0.279
3000,0.277
3100,0.279
3200,0.304
3300,0.284
3400,0.297
3500,0.33
3600,0.308
3700,0.295
3800,0.321
3900,0.311
4000,0.312
4100,0.348
4200,0.327
4300,0.336
4400,0.4
4500,0.336
4600,0.344
4700,0.398
4800,0.342
4900,0.348
5000,0.425
5100,0.379
5200,0.372
5300,0.375
5400,0.462
5500,0.402
5600,0.391
5700,0.434
5800,0.392
5900,0.382
6000,0.428
6100,0.406
6200,0.434
6300,0.438
6400,0.469
6500,0.553
6600,0.46
6700,0.433
6800,0.431
6900,0.433
7000,0.535
7100,0.442
7200,0.499
7300,0.464
7400,0.5
7500,0.538
7600,0.445
7700,0.459
7800,0.457
7900,0.49
8000,0.532
8100,0.506
8200,0.457
8300,0.553
8400,0.524
8500,0.525
8600,0.626
8700,0.505
8800,0.571
8900,0.658
9000,0.648
9100,0.587
9200,0.57
9300,0.566
9400,0.51
9500,0.541
9600,0.527
9700,0.538
9800,0.744
9900,0.58
10000,0.546

