Zeilen,Knoten,Kanten,Zeit_NetworkX
100,1218,3675,0.002
200,2186,7086,0.003
300,3127,10339,0.006
400,3999,13501,0.006
500,4817,16523,0.007
600,5573,19343,0.009
700,6266,22608,0.010
800,6936,26075,0.010
900,7636,29414,0.012
1000,8389,32759,0.012
1100,9066,35917,0.014
1200,9762,38937,0.074
1300,10424,41550,0.016
1400,11189,44578,0.018
1500,11816,48185,0.018
1600,12494,51673,0.019
1700,13146,54981,0.021
1800,13755,58199,0.021
1900,14392,61107,0.022
2000,14873,64481,0.022
2100,15371,67878,0.024
2200,15928,71028,0.025
2300,16495,74004,0.025
2400,17091,76913,0.026
2500,17635,80375,0.026
2600,18182,83762,0.028
2700,18701,87014,0.028
2800,19173,90414,0.029
2900,19651,93666,0.030
3000,20062,97174,0.119
3100,20552,100467,0.122
3200,21075,103740,0.033
3300,21607,106803,0.128
3400,22085,109756,0.036
3500,22423,113184,0.037
3600,22856,116534,0.037
3700,23349,119789,0.038
3800,23846,122811,0.038
3900,24359,125636,0.041
4000,24745,128940,0.040
4100,25183,132397,0.042
4200,25598,135559,0.042
4300,26034,138976,0.042
4400,26451,142286,0.044
4500,26804,145757,0.044
4600,27266,149065,0.044
4700,27762,152244,0.044
4800,28271,155344,0.048
4900,28755,158101,0.049
5000,29160,161009,0.048
5100,29462,164442,0.047
5200,29859,167629,0.050
5300,30213,170901,0.050
5400,30604,174289,0.050
5500,30882,177619,0.052
5600,31208,180979,0.050
5700,31573,184155,0.050
5800,32006,187362,0.053
5900,32495,190408,0.053
6000,32996,193285,0.053
6100,33499,196002,0.054
6200,34004,199365,0.055
6300,34300,202924,0.056
6400,34649,206291,0.055
6500,35091,209484,0.059
6600,35450,212657,0.059
6700,35770,216083,0.059
6800,36096,219350,0.058
6900,36511,222531,0.059
7000,36878,225655,0.059
7100,37185,229073,0.061
7200,37508,232323,0.060
7300,37957,235498,0.062
7400,38419,238843,0.063
7500,38684,242209,0.229
7600,38994,245558,0.065
7700,39379,248782,0.065
7800,39812,251821,0.233
7900,40218,255030,0.235
8000,40658,258336,0.066
8100,41024,261646,0.068
8200,41305,265006,0.066
8300,41621,268418,0.066
8400,41971,271722,0.068
8500,42343,275057,0.069
8600,42603,278395,0.069
8700,42912,281731,0.070
8800,43143,285020,0.071
8900,43466,288064,0.070
9000,43837,291378,0.079
9100,44089,294744,0.076
9200,44402,297970,0.079
9300,44744,301235,0.079
9400,45059,304517,0.080
9500,45368,307787,0.078
9600,45730,310921,0.079
9700,46066,314207,0.079
9800,46520,317462,0.081
9900,47023,320789,0.082
10000,47449,324099,0.085
