Zeilen,Knoten,Kanten,Zeit_NetworkX
100,1218,3675,0.001
200,2186,7086,0.002
300,3127,10339,0.005
400,3999,13501,0.005
500,4817,16523,0.005
600,5573,19343,0.007
700,6266,22608,0.007
800,6936,26075,0.008
900,7636,29414,0.009
1000,8389,32759,0.010
1100,9066,35917,0.011
1200,9762,38937,0.073
1300,10424,41550,0.013
1400,11189,44578,0.013
1500,11816,48185,0.013
1600,12494,51673,0.014
1700,13146,54981,0.016
1800,13755,58199,0.016
1900,14392,61107,0.016
2000,14873,64481,0.017
2100,15371,67878,0.018
2200,15928,71028,0.018
2300,16495,74004,0.018
2400,17091,76913,0.020
2500,17635,80375,0.021
2600,18182,83762,0.021
2700,18701,87014,0.021
2800,19173,90414,0.021
2900,19651,93666,0.022
3000,20062,97174,0.111
3100,20552,100467,0.112
3200,21075,103740,0.023
3300,21607,106803,0.116
3400,22085,109756,0.026
3500,22423,113184,0.027
3600,22856,116534,0.025
3700,23349,119789,0.027
3800,23846,122811,0.027
3900,24359,125636,0.028
4000,24745,128940,0.028
4100,25183,132397,0.029
4200,25598,135559,0.030
4300,26034,138976,0.030
4400,26451,142286,0.031
4500,26804,145757,0.031
4600,27266,149065,0.031
4700,27762,152244,0.032
4800,28271,155344,0.033
4900,28755,158101,0.038
5000,29160,161009,0.037
5100,29462,164442,0.034
5200,29859,167629,0.040
5300,30213,170901,0.035
5400,30604,174289,0.037
5500,30882,177619,0.037
5600,31208,180979,0.037
5700,31573,184155,0.037
5800,32006,187362,0.039
5900,32495,190408,0.038
6000,32996,193285,0.039
6100,33499,196002,0.040
6200,34004,199365,0.039
6300,34300,202924,0.041
6400,34649,206291,0.041
6500,35091,209484,0.045
6600,35450,212657,0.040
6700,35770,216083,0.041
6800,36096,219350,0.043
6900,36511,222531,0.042
7000,36878,225655,0.041
7100,37185,229073,0.044
7200,37508,232323,0.044
7300,37957,235498,0.044
7400,38419,238843,0.046
7500,38684,242209,0.211
7600,38994,245558,0.049
7700,39379,248782,0.047
7800,39812,251821,0.218
7900,40218,255030,0.223
8000,40658,258336,0.047
8100,41024,261646,0.050
8200,41305,265006,0.047
8300,41621,268418,0.051
8400,41971,271722,0.049
8500,42343,275057,0.049
8600,42603,278395,0.057
8700,42912,281731,0.051
8800,43143,285020,0.052
8900,43466,288064,0.055
9000,43837,291378,0.051
9100,44089,294744,0.059
9200,44402,297970,0.053
9300,44744,301235,0.058
9400,45059,304517,0.056
9500,45368,307787,0.054
9600,45730,310921,0.055
9700,46066,314207,0.056
9800,46520,317462,0.056
9900,47023,320789,0.055
10000,47449,324099,0.059
