Zeilen,Knoten,Kanten,Zeit_NetworkX
100,1218,3675,0.002
200,2186,7086,0.003
300,3127,10339,0.006
400,3999,13501,0.006
500,4817,16523,0.007
600,5573,19343,0.009
700,6266,22608,0.010
800,6936,26075,0.011
900,7636,29414,0.012
1000,8389,32759,0.013
1100,9066,35917,0.014
1200,9762,38937,0.077
1300,10424,41550,0.016
1400,11189,44578,0.019
1500,11816,48185,0.020
1600,12494,51673,0.019
1700,13146,54981,0.022
1800,13755,58199,0.022
1900,14392,61107,0.026
2000,14873,64481,0.025
2100,15371,67878,0.024
2200,15928,71028,0.025
2300,16495,74004,0.026
2400,17091,76913,0.028
2500,17635,80375,0.028
2600,18182,83762,0.030
2700,18701,87014,0.029
2800,19173,90414,0.030
2900,19651,93666,0.031
3000,20062,97174,0.122
3100,20552,100467,0.124
3200,21075,103740,0.032
3300,21607,106803,0.135
3400,22085,109756,0.037
3500,22423,113184,0.039
