Knoten,Kanten,ms_create_subgraph,ms_algo,ms_drop_subgraph
18209,25000,3230,1825,105
31355,50000,200,433,72
40033,75000,236,438,62
49683,100000,135,426,55
62679,125000,110,414,45
74062,150000,128,518,40
82604,175000,114,497,34
91489,200000,137,1568,33
101774,225000,213,590,32
111754,250000,112,712,29
120861,275000,123,739,28
128769,300000,133,747,27
138027,325000,131,812,25
148587,350000,127,906,25
156928,375000,139,992,25
164703,400000,139,1002,25
173819,425000,131,938,25
181755,450000,144,922,24
189183,475000,145,1205,23
195174,500000,182,1138,23
202379,525000,161,1222,23
209714,550000,178,1154,21
217679,575000,147,1350,22
224961,600000,142,1298,22
231232,625000,141,1441,21
237879,650000,151,1325,20
243676,675000,155,1399,21
249493,700000,145,1376,21
255436,725000,142,1434,19
261729,750000,154,1492,19
267408,775000,166,1606,19
272699,800000,132,1367,20
277544,825000,131,1524,18
283266,850000,158,1602,19
288712,875000,194,1417,19
293828,900000,162,1692,19
297515,925000,166,1562,19
300817,950000,148,1797,20
305644,975000,146,1603,18
310264,1000000,168,1570,18
