Knoten,Kanten,ms_create,ms_algo,ms_drop,ms_gesamt
18209,25000,3.230,1.825,0.105,5.160
31355,50000,0.200,0.433,0.072,0.705
40033,75000,0.236,0.438,0.062,0.736
49683,100000,0.135,0.426,0.055,0.616
62679,125000,0.110,0.414,0.045,0.569
74062,150000,0.128,0.518,0.040,0.686
82604,175000,0.114,0.497,0.034,0.645
91489,200000,0.137,0.868,0.033,1.038
101774,225000,0.213,0.590,0.032,0.835
111754,250000,0.112,0.712,0.029,0.853
120861,275000,0.123,0.739,0.028,0.890
128769,300000,0.133,0.747,0.027,0.907
138027,325000,0.131,0.812,0.025,0.968
148587,350000,0.127,0.906,0.025,1.058
156928,375000,0.139,0.992,0.025,1.156
164703,400000,0.139,1.002,0.025,1.166
173819,425000,0.131,0.938,0.025,1.094
181755,450000,0.144,0.922,0.024,1.090
189183,475000,0.145,1.205,0.023,1.373
195174,500000,0.182,1.138,0.023,1.343
202379,525000,0.161,1.222,0.023,1.406
209714,550000,0.178,1.154,0.021,1.353
217679,575000,0.147,1.350,0.022,1.519
224961,600000,0.142,1.298,0.022,1.462
231232,625000,0.141,1.441,0.021,1.603
237879,650000,0.151,1.325,0.020,1.496
243676,675000,0.155,1.399,0.021,1.575
249493,700000,0.145,1.376,0.021,1.542
255436,725000,0.142,1.434,0.019,1.595
261729,750000,0.154,1.492,0.019,1.665
267408,775000,0.166,1.606,0.019,1.791
272699,800000,0.132,1.367,0.020,1.519
277544,825000,0.131,1.524,0.018,1.673
283266,850000,0.158,1.602,0.019,1.779
288712,875000,0.194,1.417,0.019,1.630
293828,900000,0.162,1.692,0.019,1.873
297515,925000,0.166,1.562,0.019,1.747
300817,950000,0.148,1.797,0.020,1.965
305644,975000,0.146,1.603,0.018,1.767
310264,1000000,0.168,1.570,0.018,1.756
