Knoten,Kanten,Zeit
18209,25000,0.084
31355,50000,0.047
40033,75000,0.066
49683,100000,0.091
62679,125000,0.101
74062,150000,0.123
82604,175000,0.141
91489,200000,0.166
101774,225000,0.183
111754,250000,0.200
120861,275000,0.215
128769,300000,0.230
138027,325000,0.259
148587,350000,0.302
156928,375000,0.288
164703,400000,0.304
173819,425000,0.350
181755,450000,0.352
189183,475000,0.373
195174,500000,0.379
202379,525000,0.389
209714,550000,0.410
217679,575000,0.412
224961,600000,0.431
231232,625000,0.440
237879,650000,0.460
243676,675000,0.469
249493,700000,0.482
255436,725000,0.494
261729,750000,0.526
267408,775000,0.542
272699,800000,0.530
277544,825000,0.551
283266,850000,0.559
288712,875000,0.565
293828,900000,0.578
297515,925000,0.591
300817,950000,0.609
305644,975000,0.642
310264,1000000,0.618
