Zeilen,Knoten,Kanten,Zeit_NetworkX,Zeit_Neo4j
100,1218,3675,0.000,0.026
200,2186,7086,0.000,0.037
300,3127,10339,0.000,0.041
400,3999,13501,0.000,0.043
500,4817,16523,0.000,0.050
600,5573,19343,0.000,0.061
700,6266,22608,0.000,0.063
800,6936,26075,0.000,0.064
900,7636,29414,0.000,0.073
1000,8389,32759,0.000,0.083
1500,11816,48185,0.000,0.117
2000,14873,64481,0.000,0.158
2500,17635,80375,0.000,0.212
3000,20062,97174,0.000,0.222
3500,22423,113184,0.000,0.269
4000,24745,128940,0.000,0.326
4500,26804,145757,0.000,0.315
5000,29160,161009,0.000,0.297
5500,30882,177619,0.000,0.317
6000,32996,193285,0.000,0.334
6500,35091,209484,0.000,0.403
7000,36878,225655,0.000,0.434
7500,38684,242209,0.000,0.285
8000,40658,258336,0.000,0.295
8500,42343,275057,0.000,0.331
9000,43837,291378,0.000,0.431
9500,45368,307787,0.000,0.351
10000,47449,324099,0.000,0.341
