Knoten,Kanten,Zeit_Neo4j
100,100,1.549
195,200,1.567
287,300,1.611
378,400,1.643
461,500,1.679
542,600,1.772
641,700,1.680
705,800,1.834
787,900,1.847
864,1000,1.911
1253,1500,2.109
1571,2000,2.238
1883,2500,2.367
2244,3000,2.430
2514,3500,2.453
2906,4000,2.694
3365,4500,2.783
3706,5000,3.031
4001,5500,3.091
4295,6000,3.286
4561,6500,3.235
4835,7000,3.484
5068,7500,3.462
5293,8000,3.911
5565,8500,3.659
5819,9000,3.738
6235,9500,4.034
6731,10000,4.048
11678,15000,5.560
15368,20000,7.370
18209,25000,8.343
21288,30000,10.068
24049,35000,11.264
26510,40000,13.579
28891,45000,14.638
31355,50000,16.692
40033,75000,22.803
49683,100000,29.455
62679,125000,38.408
74062,150000,47.255
82604,175000,52.492
91489,200000,62.335
101774,225000,67.678
111754,250000,75.889
120861,275000,84.255
128769,300000,90.818
