Knoten,Kanten,Zeit_Neo4j
100,100,1.498
195,200,0.361
287,300,0.305
378,400,0.307
461,500,0.302
542,600,0.310
641,700,0.335
705,800,0.346
787,900,0.384
864,1000,0.390
1253,1500,0.517
1571,2000,0.619
1883,2500,0.744
2244,3000,0.853
2514,3500,0.958
2906,4000,1.081
3365,4500,1.208
3706,5000,1.311
4001,5500,1.426
4295,6000,1.513
4561,6500,1.617
4835,7000,1.703
5068,7500,1.802
5293,8000,1.922
5565,8500,1.993
5819,9000,2.129
6235,9500,2.260
6731,10000,2.482
11678,15000,4.005
15368,20000,5.467
18209,25000,6.634
21288,30000,8.406
24049,35000,10.930
26510,40000,12.662
28891,45000,14.581
31355,50000,16.530
40033,75000,23.462
49683,100000,30.427
62679,125000,39.762
74062,150000,49.746
82604,175000,56.420
91489,200000,63.550
101774,225000,72.578
111754,250000,82.416
120861,275000,91.541
128769,300000,97.381
