Berechnungen,Knoten,Kanten,Zeit_NetworkX
100,100,100,0.008
200,195,200,0.013
300,287,300,0.029
400,378,400,0.052
500,461,500,0.069
600,542,600,0.092
700,641,700,0.748
800,705,800,0.496
900,787,900,0.598
1000,864,1000,0.754
1500,1253,1500,1.389
2000,1571,2000,2.134
2500,1883,2500,3.378
3000,2244,3000,0.880
3500,2514,3500,1.049
4000,2906,4000,2.225
4500,3365,4500,0.520
5000,3706,5000,0.529
5500,4001,5500,0.555
6000,4295,6000,0.629
6500,4561,6500,0.744
7000,4835,7000,0.731
7500,5068,7500,0.808
8000,5293,8000,0.890
8500,5565,8500,1.018
9000,5819,9000,1.070
9500,6235,9500,1.116
10000,6731,10000,1.889
15000,11678,15000,1.147
20000,15368,20000,1.627
25000,18209,25000,1.954
30000,21288,30000,2.328
35000,24049,35000,2.904
40000,26510,40000,3.098
45000,28891,45000,3.611
50000,31355,50000,3.871
75000,40033,75000,6.594
100000,49683,100000,9.231
125000,62679,125000,92.481
150000,74062,150000,113.001
175000,82604,175000,126.829
200000,91489,200000,149.683
225000,101774,225000,167.557
250000,111754,250000,183.242
275000,120861,275000,212.675
300000,128769,300000,229.882
