Zeilen,Knoten,Kanten,Zeit_Neo4j
100,1218,3691,1.787
200,2186,7110,1.946
300,3127,10391,2.151
400,4001,13562,2.325
500,4819,16593,2.379
600,5575,19434,2.512
700,6268,22747,2.573
800,6939,26274,2.670
900,7639,29641,2.905
1000,8394,33014,2.924
1100,9071,36211,3.243
1200,9767,39258,3.245
1300,10431,41889,3.200
1400,11197,44936,3.456
1500,11827,48581,3.593
1600,12508,52093,3.430
1700,13160,55445,3.595
1800,13771,58686,3.877
1900,14409,61622,3.602
2000,14895,65075,3.856
2100,15397,68538,4.029
2200,15955,71758,4.212
2300,16528,74782,4.025
2400,17124,77730,4.302
2500,17668,81209,4.445
2600,18216,84616,4.539
2700,18737,87957,4.719
2800,19211,91429,4.650
2900,19693,94752,4.894
3000,20106,98356,5.001
3100,20596,101743,5.087
3200,21119,105036,5.260
3300,21651,108141,5.273
3400,22129,111195,5.461
3500,22467,114781,5.643
3600,22904,118187,5.594
3700,23399,121488,5.596
3800,23898,124570,5.915
3900,24411,127438,5.947
4000,24799,130857,6.066
4100,25238,134360,6.312
4200,25654,137572,6.288
4300,26090,141034,6.522
4400,26507,144527,6.587
4500,26862,148093,6.530
4600,27326,151475,6.765
4700,27823,154698,6.791
4800,28333,157829,6.990
4900,28817,160629,7.021
5000,29226,163668,7.140
5100,29529,167188,7.183
5200,29926,170454,7.420
5300,30282,173827,7.740
5400,30673,177262,7.704
5500,30951,180801,7.730
5600,31284,184269,7.928
5700,31650,187564,7.957
5800,32084,190834,8.230
5900,32573,193984,8.141
6000,33076,196944,8.152
6100,33580,199716,8.428
6200,34087,203153,8.469
6300,34383,206832,8.666
6400,34734,210292,8.587
6500,35178,213567,8.622
6600,35541,216896,9.296
6700,35861,220449,9.089
6800,36191,223831,9.145
6900,36607,227092,9.232
7000,36977,230427,9.560
7100,37284,234013,10.476
7200,37608,237378,9.973
7300,38059,240633,9.920
7400,38522,244094,10.076
7500,38792,247739,10.295
7600,39102,251225,10.918
7700,39487,254525,10.659
7800,39924,257638,10.427
7900,40330,260959,10.589
8000,40775,264367,10.344
8100,41144,267782,11.078
8200,41425,271256,10.827
8300,41747,274738,10.844
8400,42099,278141,11.193
8500,42471,281590,10.932
8600,42731,285023,11.181
8700,43040,288481,11.333
8800,43275,291942,11.424
8900,43600,295147,11.618
9000,43973,298595,11.807
9100,44229,302109,11.415
9200,44542,305518,12.164
9300,44887,308895,12.375
9400,45202,312347,12.402
9500,45514,315732,12.364
9600,45877,318972,13.199
9700,46214,322387,12.561
9800,46674,325731,13.118
9900,47178,329134,12.909
10000,47607,332565,12.859
