Zeilen,Knoten,Kanten,Zeit_Neo4j
100,1218,3691,1.732
200,2186,7110,0.496
300,3127,10391,0.521
400,4001,13562,0.569
500,4819,16593,0.655
600,5575,19434,0.721
700,6268,22747,0.749
800,6939,26274,0.781
900,7639,29641,0.905
1000,8394,33014,1.069
1100,9071,36211,1.033
1200,9767,39258,1.175
1300,10431,41889,1.275
1400,11197,44936,1.301
1500,11827,48581,1.497
1600,12508,52093,1.598
1700,13160,55445,1.733
1800,13771,58686,1.708
1900,14409,61622,2.047
2000,14895,65075,1.988
2100,15397,68538,1.982
2200,15955,71758,2.178
2300,16528,74782,2.290
2400,17124,77730,2.468
2500,17668,81209,2.600
2600,18216,84616,2.604
2700,18737,87957,2.736
2800,19211,91429,2.994
2900,19693,94752,2.933
3000,20106,98356,3.107
3100,20596,101743,3.177
3200,21119,105036,3.378
3300,21651,108141,3.449
3400,22129,111195,3.496
3500,22467,114781,3.658
3600,22904,118187,3.786
3700,23399,121488,3.932
3800,23898,124570,3.919
3900,24411,127438,4.257
4000,24799,130857,4.011
4100,25238,134360,4.291
4200,25654,137572,4.266
4300,26090,141034,4.366
4400,26507,144527,4.444
4500,26862,148093,4.640
4600,27326,151475,4.843
4700,27823,154698,4.729
4800,28333,157829,4.861
4900,28817,160629,5.011
5000,29226,163668,5.109
5100,29529,167188,5.529
5200,29926,170454,5.444
5300,30282,173827,5.371
5400,30673,177262,5.511
5500,30951,180801,5.598
5600,31284,184269,5.901
5700,31650,187564,5.807
5800,32084,190834,6.038
5900,32573,193984,6.091
6000,33076,196944,7.062
6100,33580,199716,6.688
6200,34087,203153,6.653
6300,34383,206832,7.226
6400,34734,210292,7.174
6500,35178,213567,6.934
6600,35541,216896,6.934
6700,35861,220449,7.187
6800,36191,223831,7.724
6900,36607,227092,7.608
7000,36977,230427,7.823
7100,37284,234013,7.673
7200,37608,237378,7.827
7300,38059,240633,7.989
7400,38522,244094,8.337
7500,38792,247739,7.904
7600,39102,251225,8.263
7700,39487,254525,8.539
7800,39924,257638,8.729
7900,40330,260959,8.756
8000,40775,264367,9.185
8100,41144,267782,8.872
8200,41425,271256,9.745
8300,41747,274738,9.146
8400,42099,278141,9.341
8500,42471,281590,9.597
8600,42731,285023,9.600
8700,43040,288481,9.851
8800,43275,291942,9.851
8900,43600,295147,10.088
9000,43973,298595,9.902
9100,44229,302109,10.815
9200,44542,305518,10.340
9300,44887,308895,11.467
9400,45202,312347,10.665
9500,45514,315732,11.070
9600,45877,318972,11.309
9700,46214,322387,11.499
9800,46674,325731,10.993
9900,47178,329134,11.302
10000,47607,332565,11.271
