Zeilen,Knoten,Kanten,Zeit_Neo4j,Zeit_Neo4j_algo
25000,18209,25000,2.364,1.058
50000,31355,50000,0.938,0.526
75000,40033,75000,0.898,0.529
100000,49683,100000,0.817,0.534
125000,62679,125000,0.894,0.614
150000,74062,150000,0.893,0.690
175000,82604,175000,1.026,0.786
200000,91489,200000,1.089,0.806
225000,101774,225000,1.147,0.899
250000,111754,250000,1.248,0.974
275000,120861,275000,1.324,1.085
300000,128769,300000,1.471,1.171
325000,138027,325000,1.586,1.307
350000,148587,350000,1.719,1.424
375000,156928,375000,1.842,1.587
400000,164703,400000,1.854,1.553
425000,173819,425000,2.022,1.759
450000,181755,450000,2.224,1.983
475000,189183,475000,2.091,1.842
500000,195174,500000,2.098,1.852
525000,202379,525000,2.386,2.061
550000,209714,550000,2.605,2.347
575000,217679,575000,2.800,2.532
600000,224961,600000,2.856,2.576
625000,231232,625000,2.969,2.707
650000,237879,650000,2.786,2.501
675000,243676,675000,2.985,2.721
700000,249493,700000,3.281,3.034
725000,255436,725000,3.315,3.017
750000,261729,750000,3.323,3.052
775000,267408,775000,3.617,3.338
800000,272699,800000,3.316,3.038
825000,277544,825000,3.468,3.098
850000,283266,850000,3.735,3.397
875000,288712,875000,3.876,3.594
900000,293828,900000,4.105,3.707
925000,297515,925000,4.085,3.774
950000,300817,950000,4.147,3.829
975000,305644,975000,4.184,3.854
1000000,310264,1000000,4.418,4.081
