Zeilen,Knoten,Kanten,Zeit_Neo4j,Zeit_Neo4j_algo
25000,18209,25000,3.301,0.993
50000,31355,50000,3.629,1.208
75000,40033,75000,4.044,1.510
100000,49683,100000,4.412,1.675
125000,62679,125000,4.384,1.747
150000,74062,150000,4.545,1.831
175000,82604,175000,4.870,1.962
200000,91489,200000,4.791,1.975
225000,101774,225000,5.023,1.980
250000,111754,250000,5.143,2.231
275000,120861,275000,5.461,2.431
300000,128769,300000,4.272,2.284
325000,138027,325000,5.521,2.437
350000,148587,350000,4.650,2.546
375000,156928,375000,5.821,2.708
400000,164703,400000,6.033,2.839
425000,173819,425000,5.870,2.789
450000,181755,450000,6.190,2.936
475000,189183,475000,6.233,2.971
500000,195174,500000,6.322,3.101
525000,202379,525000,5.151,3.238
550000,209714,550000,6.476,3.125
570000,215976,570000,6.688,3.513
600000,224961,600000,6.797,3.531
625000,231232,625000,6.861,3.500
650000,237879,650000,6.583,3.472
675000,243676,675000,5.834,3.590
700000,249493,700000,6.009,3.900
725000,255436,725000,7.485,3.680
750000,261729,750000,7.289,4.071
775000,267408,775000,7.057,3.952
800000,272699,800000,6.416,4.026
825000,277544,825000,7.306,4.046
850000,283266,850000,6.601,4.313
875000,288712,875000,7.978,4.514
900000,293828,900000,7.289,4.326
925000,297515,925000,7.886,4.578
950000,300817,950000,7.504,4.386
975000,305644,975000,7.648,4.399
1000000,310264,1000000,7.903,4.504
