Zeilen,Knoten,Kanten,Zeit_Neo4j,Zeit_Neo4j_algo
500,1972,9570,2.057,0.916
1000,3305,18972,0.624,0.417
1500,4714,27892,0.644,0.450
2000,5853,37336,0.602,0.390
2500,6900,46510,0.631,0.481
3000,7659,56138,0.645,0.473
3500,8538,65530,0.635,0.487
4000,9424,74716,0.707,0.522
4500,10095,84440,1.906,0.765
5000,11030,93544,1.915,0.701
5500,11612,103250,0.688,0.561
6000,12398,112784,0.843,0.648
6500,13224,122240,1.044,0.735
7000,13857,131718,0.867,0.734
7500,14544,141512,0.929,0.795
8000,15372,151036,0.892,0.734
8500,15985,160854,0.970,0.838
9000,16473,170526,0.989,0.842
9500,17012,180392,1.099,0.947
10000,17917,190122,1.057,0.905
