Zeilen,Knoten,Kanten,Zeit_Neo4j,Zeit_algo_Neo4j
500,1972,9570,2.060,0.934
1000,3305,18972,2.343,1.060
1500,4714,27892,2.197,1.066
2000,5853,37336,2.382,1.195
2500,6900,46510,2.554,1.292
3000,7659,56138,2.541,1.338
3500,8538,65530,2.681,1.398
4000,9424,74716,2.787,1.453
4500,10095,84440,3.686,1.399
5000,11030,93544,3.881,1.525
5500,11612,103250,3.836,1.639
6000,12398,112784,4.127,1.704
6500,13224,122240,3.968,1.606
7000,13857,131718,3.826,1.608
7500,14544,141512,4.251,1.780
8000,15372,151036,4.302,1.746
8500,15985,160854,3.242,1.895
9000,16473,170526,4.374,1.907
9500,17012,180392,4.282,1.925
10000,17917,190122,4.353,1.873
