Zeilen,Knoten,Kanten,Zeit_NetworkX
25000,18209,25000,0.803
50000,31355,50000,1.564
75000,40033,75000,2.220
100000,49683,100000,3.111
125000,62679,125000,3.938
150000,74062,150000,4.148
175000,82604,175000,5.662
200000,91489,200000,5.403
225000,101774,225000,5.975
250000,111754,250000,6.953
275000,120861,275000,7.452
300000,128769,300000,8.126
325000,138027,325000,8.855
350000,148587,350000,10.043
375000,156928,375000,10.336
400000,164703,400000,11.022
425000,173819,425000,11.411
450000,181755,450000,11.957
475000,189183,475000,13.080
500000,195174,500000,13.657
525000,202379,525000,14.399
550000,209714,550000,14.646
575000,217679,575000,15.036
600000,224961,600000,15.611
625000,231232,625000,16.223
650000,237879,650000,16.948
675000,243676,675000,18.399
700000,249493,700000,18.925
725000,255436,725000,19.470
750000,261729,750000,20.040
775000,267408,775000,20.690
800000,272699,800000,21.469
825000,277544,825000,22.345
850000,283266,850000,22.371
875000,288712,875000,22.238
900000,293828,900000,23.086
925000,297515,925000,23.464
950000,300817,950000,24.229
975000,305644,975000,24.514
1000000,310264,1000000,25.183
