Zeilen,Knoten,Kanten,Zeit_NetworkX
25000,18209,25000,0.372
50000,31355,50000,0.867
75000,40033,75000,1.186
100000,49683,100000,1.625
125000,62679,125000,2.135
150000,74062,150000,2.463
175000,82604,175000,3.200
200000,91489,200000,3.607
225000,101774,225000,3.968
250000,111754,250000,4.521
275000,120861,275000,4.952
300000,128769,300000,5.544
325000,138027,325000,5.843
350000,148587,350000,6.223
375000,156928,375000,7.085
400000,164703,400000,7.495
425000,173819,425000,8.233
450000,181755,450000,8.733
475000,189183,475000,9.023
500000,195174,500000,9.909
525000,202379,525000,10.260
550000,209714,550000,10.680
575000,217679,575000,11.075
600000,224961,600000,11.452
625000,231232,625000,12.346
650000,237879,650000,12.752
675000,243676,675000,13.170
700000,249493,700000,13.342
725000,255436,725000,14.103
750000,261729,750000,14.650
775000,267408,775000,15.309
800000,272699,800000,15.446
825000,277544,825000,16.089
850000,283266,850000,17.121
875000,288712,875000,17.210
900000,293828,900000,17.418
925000,297515,925000,17.821
950000,300817,950000,18.015
975000,305644,975000,19.301
1000000,310264,1000000,19.813
