Zeilen,Knoten,Kanten,Zeit_NetworkX,Zeit_Neo4j
100,1218,3675,0.001,0.026
200,2186,7086,0.001,0.032
300,3127,10339,0.001,0.04
400,3999,13501,0.002,0.046
500,4817,16523,0.002,0.049
600,5573,19343,0.003,0.055
700,6266,22608,0.003,0.059
800,6936,26075,0.003,0.064
900,7636,29414,0.003,0.064
1000,8389,32759,0.004,0.068
1500,11816,48185,0.006,0.079
2000,14873,64481,0.007,0.091
2500,17635,80375,0.009,0.098
3000,20062,97174,0.009,0.103
3500,22423,113184,0.010,0.108
4000,24745,128940,0.011,0.108
4500,26804,145757,0.012,0.108
5000,29160,161009,0.013,0.104
5500,30882,177619,0.014,0.114
6000,32996,193285,0.015,0.117
6500,35091,209484,0.016,0.124
7000,36878,225655,0.017,0.13
7500,38684,242209,0.018,0.118
8000,40658,258336,0.018,0.124
8500,42343,275057,0.020,0.126
9000,43837,291378,0.020,0.124
9500,45368,307787,0.021,0.125
10000,47449,324099,0.025,0.14
