Zeilen,Knoten,Kanten,Zeit_Neo4j
100,1218,3675,0.036
200,2186,7086,0.053
300,3127,10339,0.055
400,3999,13501,0.076
500,4817,16523,0.086
600,5573,19343,0.089
700,6266,22608,0.094
800,6936,26075,0.097
900,7636,29414,0.079
1000,8389,32759,0.103
1500,11816,48185,0.084
2000,14873,64481,0.105
2500,17635,80375,0.118
3000,20062,97174,0.116
3500,22423,113184,0.133
4000,24745,128940,0.124
4500,26804,145757,0.118
5000,29160,161009,0.132
5500,30882,177619,0.127
6000,32996,193285,0.14
6500,35091,209484,0.139
7000,36878,225655,0.139
7500,38684,242209,0.149
8000,40658,258336,0.139
8500,42343,275057,0.143
9000,43837,291378,0.128
9500,45368,307787,0.14
10000,47449,324099,0.148
